reviewer,article,content,sugestion,decision
Arun Mittal,Improving the Adversarial Robustness for Speaker Verification by Self-Supervised Learning.,content review,some sugestion,accepted
Hai-Wei Sun,Improving the Adversarial Robustness for Speaker Verification by Self-Supervised Learning.,content review,some sugestion,not accepted
Erik Meineche Schmidt,Are Malware Detection Classifiers Adversarially Vulnerable to Actor-Critic based Evasion Attacks?,content review,some sugestion,accepted
M. I. Cohen,Are Malware Detection Classifiers Adversarially Vulnerable to Actor-Critic based Evasion Attacks?,content review,some sugestion,accepted
Hady Pranoto,Are Malware Detection Classifiers Adversarially Vulnerable to Actor-Critic based Evasion Attacks?,content review,some sugestion,not accepted
Roy Edgar Hansen,Sample size estimation in diagnostic test studies of biomedical informatics.,content review,some sugestion,accepted
Ming Zhang,Sample size estimation in diagnostic test studies of biomedical informatics.,content review,some sugestion,accepted
Chi-Sang Jung,Sample size estimation in diagnostic test studies of biomedical informatics.,content review,some sugestion,not accepted
Daniel Cullina,On rank of block Hankel matrix for 2-D frequency detection and estimation.,content review,some sugestion,accepted
Laurent Chupin,On rank of block Hankel matrix for 2-D frequency detection and estimation.,content review,some sugestion,accepted
David Dagan Feng,On rank of block Hankel matrix for 2-D frequency detection and estimation.,content review,some sugestion,not accepted
Huiqin Xie,Harmonisierung divergierender organisationaler Kulturen in öffentlich-privaten IT-Partnerschaften.,content review,some sugestion,accepted
Astrid Tannert,Harmonisierung divergierender organisationaler Kulturen in öffentlich-privaten IT-Partnerschaften.,content review,some sugestion,accepted
Diogo Poças,Harmonisierung divergierender organisationaler Kulturen in öffentlich-privaten IT-Partnerschaften.,content review,some sugestion,not accepted
Adel El-Faraskoury,Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,content review,some sugestion,accepted
Diogo Poças,Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,content review,some sugestion,accepted
Norman F. Schneidewind,Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,content review,some sugestion,not accepted
Fabio Nobile,A constructive approach to examination timetabling based on adaptive decomposition and ordering.,content review,some sugestion,accepted
Anton Schiela,A constructive approach to examination timetabling based on adaptive decomposition and ordering.,content review,some sugestion,accepted
David Perry,A constructive approach to examination timetabling based on adaptive decomposition and ordering.,content review,some sugestion,not accepted
Kwok-Kai Soo,Ranking configuration parameters in multi-tiered e-commerce sites.,content review,some sugestion,accepted
Theodore Hailperin,Ranking configuration parameters in multi-tiered e-commerce sites.,content review,some sugestion,accepted
Arthur J. Davidson,Ranking configuration parameters in multi-tiered e-commerce sites.,content review,some sugestion,not accepted
Jan Camenisch,High-Level Synthesis of Number-Theoretic Transform: A Case Study for Future Cryptosystems.,content review,some sugestion,accepted
Heike Siebert,High-Level Synthesis of Number-Theoretic Transform: A Case Study for Future Cryptosystems.,content review,some sugestion,accepted
Fabio Nobile,High-Level Synthesis of Number-Theoretic Transform: A Case Study for Future Cryptosystems.,content review,some sugestion,not accepted
Norman F. Schneidewind,Almost Lyapunov functions for nonlinear systems.,content review,some sugestion,accepted
Anton Schiela,Almost Lyapunov functions for nonlinear systems.,content review,some sugestion,accepted
Abbas Heydari,Almost Lyapunov functions for nonlinear systems.,content review,some sugestion,not accepted
Duyan Bi,On nonmetric similarity search problems in complex domains.,content review,some sugestion,accepted
S. Twomey,On nonmetric similarity search problems in complex domains.,content review,some sugestion,accepted
Osama Rashed Sayed,On nonmetric similarity search problems in complex domains.,content review,some sugestion,not accepted
Abbas Heydari,A DEA approach for evaluating the efficiency and effectiveness of urban transit systems.,content review,some sugestion,accepted
Chi-Wang Shu,A DEA approach for evaluating the efficiency and effectiveness of urban transit systems.,content review,some sugestion,accepted
Adel El-Faraskoury,A DEA approach for evaluating the efficiency and effectiveness of urban transit systems.,content review,some sugestion,not accepted
Fabio Nobile,"The Yale human grasping dataset: Grasp, object, and task data in household and machine shop environments.",content review,some sugestion,accepted
Theodosios Pavlidis,"The Yale human grasping dataset: Grasp, object, and task data in household and machine shop environments.",content review,some sugestion,accepted
Heike Siebert,"The Yale human grasping dataset: Grasp, object, and task data in household and machine shop environments.",content review,some sugestion,not accepted
David Perry,"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999.",content review,some sugestion,accepted
Lukasz Maksymiuk,"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999.",content review,some sugestion,accepted
Jiang Ma,"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999.",content review,some sugestion,not accepted
K. R. Ramakrishnan,Interference alignment in K-user multiple-input-multiple-output interference channels with partially coordinated receivers.,content review,some sugestion,accepted
Lianjun Xiao,Interference alignment in K-user multiple-input-multiple-output interference channels with partially coordinated receivers.,content review,some sugestion,accepted
M. I. Cohen,Interference alignment in K-user multiple-input-multiple-output interference channels with partially coordinated receivers.,content review,some sugestion,not accepted
Christopher I. Amos,Design and application of integrated parabolic soft actuator.,content review,some sugestion,accepted
Chaojiang Wu,Design and application of integrated parabolic soft actuator.,content review,some sugestion,accepted
Huiqin Xie,Design and application of integrated parabolic soft actuator.,content review,some sugestion,not accepted
Hady Pranoto,Formal solutions of singularly-perturbed linear differential systems.,content review,some sugestion,accepted
Anna Maria Paganoni,Formal solutions of singularly-perturbed linear differential systems.,content review,some sugestion,accepted
Chaojiang Wu,Formal solutions of singularly-perturbed linear differential systems.,content review,some sugestion,not accepted
Cynthia Jane Solomon,Computing-in-Memory for Performance and Energy-Efficient Homomorphic Encryption.,content review,some sugestion,accepted
M. I. Cohen,Computing-in-Memory for Performance and Energy-Efficient Homomorphic Encryption.,content review,some sugestion,accepted
Hai-Wei Sun,Computing-in-Memory for Performance and Energy-Efficient Homomorphic Encryption.,content review,some sugestion,not accepted
Arvind Ramanathan,Analytical Methods for CDMA Systems with Parallel Interference Cancellation: The Large Deviation Approach.,content review,some sugestion,accepted
Hen-Wai Tsao,Analytical Methods for CDMA Systems with Parallel Interference Cancellation: The Large Deviation Approach.,content review,some sugestion,accepted
Arthur J. Davidson,Analytical Methods for CDMA Systems with Parallel Interference Cancellation: The Large Deviation Approach.,content review,some sugestion,not accepted
Diogo Poças,Affinity Propagation Clustering of Measurements for Multiple Extended Target Tracking.,content review,some sugestion,accepted
Jan Camenisch,Affinity Propagation Clustering of Measurements for Multiple Extended Target Tracking.,content review,some sugestion,accepted
Lianjun Xiao,Affinity Propagation Clustering of Measurements for Multiple Extended Target Tracking.,content review,some sugestion,not accepted
Arthur J. Davidson,Fast and Reliable Estimation of Multiple Parametric Images Using an Integrated Method for Dynamic SPECT.,content review,some sugestion,accepted
Aida Pliuskeviciene,Fast and Reliable Estimation of Multiple Parametric Images Using an Integrated Method for Dynamic SPECT.,content review,some sugestion,accepted
Diogo Poças,Fast and Reliable Estimation of Multiple Parametric Images Using an Integrated Method for Dynamic SPECT.,content review,some sugestion,not accepted
Babak Farzad,A high-resolution method for the depth-integrated solute transport equation based on an unstructured mesh.,content review,some sugestion,accepted
Laurent Chupin,A high-resolution method for the depth-integrated solute transport equation based on an unstructured mesh.,content review,some sugestion,accepted
Chih-Yuan Yao,A high-resolution method for the depth-integrated solute transport equation based on an unstructured mesh.,content review,some sugestion,not accepted
Robert Finger,ggparliament: A ggplot2 extension for parliament plots in R.,content review,some sugestion,accepted
Osama Rashed Sayed,ggparliament: A ggplot2 extension for parliament plots in R.,content review,some sugestion,accepted
Adel El-Faraskoury,ggparliament: A ggplot2 extension for parliament plots in R.,content review,some sugestion,not accepted
Wirt Atmar,Encode Imaging System Parameters as Distribution to Improve Reflection Generation and Removal.,content review,some sugestion,accepted
Chia-Lung Yeh,Encode Imaging System Parameters as Distribution to Improve Reflection Generation and Removal.,content review,some sugestion,accepted
Jiang Ma,Encode Imaging System Parameters as Distribution to Improve Reflection Generation and Removal.,content review,some sugestion,not accepted
Mazen O. Hasna,miR-196a-2 Promotes Malignant Progression of Thyroid Carcinoma by Targeting NRXN1.,content review,some sugestion,accepted
Le Deng,miR-196a-2 Promotes Malignant Progression of Thyroid Carcinoma by Targeting NRXN1.,content review,some sugestion,accepted
Dok Nam Lee,miR-196a-2 Promotes Malignant Progression of Thyroid Carcinoma by Targeting NRXN1.,content review,some sugestion,not accepted
N. C. Simpson,Universal Synchronous Rectification Scheme for LLC Resonant Converter Using Primary-Side Inductor Voltage.,content review,some sugestion,accepted
Chi-Wang Shu,Universal Synchronous Rectification Scheme for LLC Resonant Converter Using Primary-Side Inductor Voltage.,content review,some sugestion,accepted
Karl-Heinz Best,Universal Synchronous Rectification Scheme for LLC Resonant Converter Using Primary-Side Inductor Voltage.,content review,some sugestion,not accepted
N. C. Simpson,Monocular Semidirect Visual Odometry for Large-Scale Outdoor Localization.,content review,some sugestion,accepted
Erik Meineche Schmidt,Monocular Semidirect Visual Odometry for Large-Scale Outdoor Localization.,content review,some sugestion,accepted
Adriano Meta,Monocular Semidirect Visual Odometry for Large-Scale Outdoor Localization.,content review,some sugestion,not accepted
Arturo Molina 0001,Improving Human Decision Making through Case-Based Decision Aiding.,content review,some sugestion,accepted
Abbas Heydari,Improving Human Decision Making through Case-Based Decision Aiding.,content review,some sugestion,accepted
Ming Zhang,Improving Human Decision Making through Case-Based Decision Aiding.,content review,some sugestion,not accepted
Erik Meineche Schmidt,An efficient weak sharpening detection method for image forensics.,content review,some sugestion,accepted
K. R. Ramakrishnan,An efficient weak sharpening detection method for image forensics.,content review,some sugestion,accepted
Kwok-Kai Soo,An efficient weak sharpening detection method for image forensics.,content review,some sugestion,not accepted
Anita Schöbel,Flexible Transaction Dependencies in Database Systems.,content review,some sugestion,accepted
Arvind Ramanathan,Flexible Transaction Dependencies in Database Systems.,content review,some sugestion,accepted
E. Lerzan Örmeci,Flexible Transaction Dependencies in Database Systems.,content review,some sugestion,not accepted
Chaojiang Wu,Professional ethics and social responsibility: military work and peacebuilding.,content review,some sugestion,accepted
Heike Siebert,Professional ethics and social responsibility: military work and peacebuilding.,content review,some sugestion,accepted
Diogo Poças,Professional ethics and social responsibility: military work and peacebuilding.,content review,some sugestion,not accepted
K. R. Ramakrishnan,Allowing for the effect of data binning in a Bayesian Normal mixture model.,content review,some sugestion,accepted
Chih-Yuan Yao,Allowing for the effect of data binning in a Bayesian Normal mixture model.,content review,some sugestion,accepted
Roy Edgar Hansen,Allowing for the effect of data binning in a Bayesian Normal mixture model.,content review,some sugestion,not accepted
Alper Korkmaz,Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,content review,some sugestion,accepted
Kwok-Kai Soo,Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,content review,some sugestion,accepted
Lianjun Xiao,Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,content review,some sugestion,not accepted
Babak Farzad,Monotonicity properties of wholesale price contracts.,content review,some sugestion,accepted
Norman F. Schneidewind,Monotonicity properties of wholesale price contracts.,content review,some sugestion,accepted
Cynthia Jane Solomon,Monotonicity properties of wholesale price contracts.,content review,some sugestion,not accepted
David T. Wong,Distance Oracles beyond the Thorup-Zwick Bound.,content review,some sugestion,accepted
Hen-Wai Tsao,Distance Oracles beyond the Thorup-Zwick Bound.,content review,some sugestion,accepted
Hady Pranoto,Distance Oracles beyond the Thorup-Zwick Bound.,content review,some sugestion,not accepted
Theodosios Pavlidis,Maximum semi-matching problem in bipartite graphs.,content review,some sugestion,accepted
M. I. Cohen,Maximum semi-matching problem in bipartite graphs.,content review,some sugestion,accepted
Daniel Cullina,Maximum semi-matching problem in bipartite graphs.,content review,some sugestion,not accepted
Oliver Marschollek,MM-DSS: Integrating multimedia and decision-making knowledge in decision support systems.,content review,some sugestion,accepted
Di Li 0003,MM-DSS: Integrating multimedia and decision-making knowledge in decision support systems.,content review,some sugestion,accepted
Anita Schöbel,MM-DSS: Integrating multimedia and decision-making knowledge in decision support systems.,content review,some sugestion,not accepted
Chi-Wang Shu,Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.,content review,some sugestion,accepted
Arvind Ramanathan,Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.,content review,some sugestion,accepted
Kwok-Kai Soo,Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.,content review,some sugestion,not accepted
Huijun Wu,Problem 11378.,content review,some sugestion,accepted
Kwok-Kai Soo,Problem 11378.,content review,some sugestion,accepted
Anita Schöbel,Problem 11378.,content review,some sugestion,not accepted
Wirt Atmar,Software Productivity in DevOps.,content review,some sugestion,accepted
Erik Meineche Schmidt,Software Productivity in DevOps.,content review,some sugestion,accepted
Daniela Guaiana,Software Productivity in DevOps.,content review,some sugestion,not accepted
Roy Edgar Hansen,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,content review,some sugestion,accepted
Akira Suzuki,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,content review,some sugestion,accepted
David Perry,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,content review,some sugestion,not accepted
N. C. Simpson,Improving amplify-and-forward relay networks: optimal power allocation versus selection.,content review,some sugestion,accepted
Roy Edgar Hansen,Improving amplify-and-forward relay networks: optimal power allocation versus selection.,content review,some sugestion,accepted
Huijun Wu,Improving amplify-and-forward relay networks: optimal power allocation versus selection.,content review,some sugestion,not accepted
Dinesh Manocha,Updating the Agenda for Academic Libraries and Scholarly Communications.,content review,some sugestion,accepted
Wirt Atmar,Updating the Agenda for Academic Libraries and Scholarly Communications.,content review,some sugestion,accepted
Robert Finger,Updating the Agenda for Academic Libraries and Scholarly Communications.,content review,some sugestion,not accepted
C. G. Parthipan,Creating accessible educational multimedia through editing automatic speech recognition captioning in real time.,content review,some sugestion,accepted
Kwok-Kai Soo,Creating accessible educational multimedia through editing automatic speech recognition captioning in real time.,content review,some sugestion,accepted
Hen-Wai Tsao,Creating accessible educational multimedia through editing automatic speech recognition captioning in real time.,content review,some sugestion,not accepted
Fabio Nobile,An extended KCF tracking algorithm based on TLD structure in low frame rate videos.,content review,some sugestion,accepted
Louise A. Mawn,An extended KCF tracking algorithm based on TLD structure in low frame rate videos.,content review,some sugestion,accepted
Anita Schöbel,An extended KCF tracking algorithm based on TLD structure in low frame rate videos.,content review,some sugestion,not accepted
Chi-Sang Jung,An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,content review,some sugestion,accepted
Kanad Chakraborty,An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,content review,some sugestion,accepted
Vera Tilson,An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,content review,some sugestion,not accepted
Abbas Heydari,Into Scandinavia: When Online Fatherhood Reflects Societal Infrastructures.,content review,some sugestion,accepted
David Dagan Feng,Into Scandinavia: When Online Fatherhood Reflects Societal Infrastructures.,content review,some sugestion,accepted
Wirt Atmar,Into Scandinavia: When Online Fatherhood Reflects Societal Infrastructures.,content review,some sugestion,not accepted
Andrew J. Hinchley,Localized measurement of image fractal dimension using gabor filters.,content review,some sugestion,accepted
Arthur J. Davidson,Localized measurement of image fractal dimension using gabor filters.,content review,some sugestion,accepted
Abbas Heydari,Localized measurement of image fractal dimension using gabor filters.,content review,some sugestion,not accepted
Daniel Troy,Representation Learning for EEG-Based Biometrics Using Hilbert-Huang Transform.,content review,some sugestion,accepted
Oliver Marschollek,Representation Learning for EEG-Based Biometrics Using Hilbert-Huang Transform.,content review,some sugestion,accepted
David T. Wong,Representation Learning for EEG-Based Biometrics Using Hilbert-Huang Transform.,content review,some sugestion,not accepted
Lukasz Maksymiuk,"Code Growth, Explicitly Defined Introns, and Alternative Selection Schemes.",content review,some sugestion,accepted
Heike Siebert,"Code Growth, Explicitly Defined Introns, and Alternative Selection Schemes.",content review,some sugestion,accepted
Daniela Guaiana,"Code Growth, Explicitly Defined Introns, and Alternative Selection Schemes.",content review,some sugestion,not accepted
Amir Bozorgzadeh,On constrained 2-Partitions of monochromatic sets and generalizations in the sense of Erdos-Ginzburg-Ziv.,content review,some sugestion,accepted
Dan Suciu,On constrained 2-Partitions of monochromatic sets and generalizations in the sense of Erdos-Ginzburg-Ziv.,content review,some sugestion,accepted
David Perry,On constrained 2-Partitions of monochromatic sets and generalizations in the sense of Erdos-Ginzburg-Ziv.,content review,some sugestion,not accepted
Moulay A. Barkatou,Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.,content review,some sugestion,accepted
Kanad Chakraborty,Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.,content review,some sugestion,accepted
Amaro de Sousa,Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.,content review,some sugestion,not accepted
Daniel Cullina,Does virtual reality affect behavioral intention? Testing engagement processes in a K-Pop video on YouTube.,content review,some sugestion,accepted
Jan Camenisch,Does virtual reality affect behavioral intention? Testing engagement processes in a K-Pop video on YouTube.,content review,some sugestion,accepted
Hady Pranoto,Does virtual reality affect behavioral intention? Testing engagement processes in a K-Pop video on YouTube.,content review,some sugestion,not accepted
Akira Suzuki,Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,content review,some sugestion,accepted
Jiaqi Zhang 0001,Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,content review,some sugestion,accepted
Daniel Cullina,Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,content review,some sugestion,not accepted
Ming Zhang,Das Regionale Wirtschaftsarchiv in Berlin.,content review,some sugestion,accepted
Laurent Chupin,Das Regionale Wirtschaftsarchiv in Berlin.,content review,some sugestion,accepted
C. G. Parthipan,Das Regionale Wirtschaftsarchiv in Berlin.,content review,some sugestion,not accepted
Alper Korkmaz,Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.,content review,some sugestion,accepted
Norman F. Schneidewind,Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.,content review,some sugestion,accepted
Jiaqi Zhang 0001,Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.,content review,some sugestion,not accepted
André Raspaud,Dimension quotients of metabelian Lie rings.,content review,some sugestion,accepted
Keecheon Kim,Dimension quotients of metabelian Lie rings.,content review,some sugestion,accepted
Kwok-Kai Soo,Dimension quotients of metabelian Lie rings.,content review,some sugestion,not accepted
Dok Nam Lee,Density of Extremal Sets in Multivariate Chebyshev Approximation.,content review,some sugestion,accepted
Anita Schöbel,Density of Extremal Sets in Multivariate Chebyshev Approximation.,content review,some sugestion,accepted
Laurent Chupin,Density of Extremal Sets in Multivariate Chebyshev Approximation.,content review,some sugestion,not accepted
David Perry,Influence of the residual stress state of coatings on the wear behavior in external turning of AISI 4140 and Ti-6Al-4V.,content review,some sugestion,accepted
Ahmed M. Mohamed,Influence of the residual stress state of coatings on the wear behavior in external turning of AISI 4140 and Ti-6Al-4V.,content review,some sugestion,accepted
Anton Schiela,Influence of the residual stress state of coatings on the wear behavior in external turning of AISI 4140 and Ti-6Al-4V.,content review,some sugestion,not accepted
K. R. Ramakrishnan,Editorial on the special issue of RTNS 2020.,content review,some sugestion,accepted
David Alan Grier,Editorial on the special issue of RTNS 2020.,content review,some sugestion,accepted
Jiaqi Zhang 0001,Editorial on the special issue of RTNS 2020.,content review,some sugestion,not accepted
Jiaqi Zhang 0001,Markov Chain Model for Events Following Induced Abortion.,content review,some sugestion,accepted
David Dagan Feng,Markov Chain Model for Events Following Induced Abortion.,content review,some sugestion,accepted
Jiang Ma,Markov Chain Model for Events Following Induced Abortion.,content review,some sugestion,not accepted
Chih-Yuan Yao,An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.,content review,some sugestion,accepted
Gabriel M. Silberman,An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.,content review,some sugestion,accepted
Robert Finger,An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.,content review,some sugestion,not accepted
Vera Tilson,Path partition for graphs with special blocks.,content review,some sugestion,accepted
Daniela Guaiana,Path partition for graphs with special blocks.,content review,some sugestion,accepted
Hai-Wei Sun,Path partition for graphs with special blocks.,content review,some sugestion,not accepted
K. R. Ramakrishnan,Shape symmetry analysis of breast tumors on ultrasound images.,content review,some sugestion,accepted
Daniela Guaiana,Shape symmetry analysis of breast tumors on ultrasound images.,content review,some sugestion,accepted
Arvind Ramanathan,Shape symmetry analysis of breast tumors on ultrasound images.,content review,some sugestion,not accepted
André Raspaud,Piezo/Tribotronics Toward Smart Flexible Sensors.,content review,some sugestion,accepted
Chi-Sang Jung,Piezo/Tribotronics Toward Smart Flexible Sensors.,content review,some sugestion,accepted
Ming Zhang,Piezo/Tribotronics Toward Smart Flexible Sensors.,content review,some sugestion,not accepted
Aida Pliuskeviciene,"Triangular intuitionistic fuzzy random decision making based on combination of parametric estimation, score functions, and prospect theory.",content review,some sugestion,accepted
Heike Siebert,"Triangular intuitionistic fuzzy random decision making based on combination of parametric estimation, score functions, and prospect theory.",content review,some sugestion,accepted
E. Lerzan Örmeci,"Triangular intuitionistic fuzzy random decision making based on combination of parametric estimation, score functions, and prospect theory.",content review,some sugestion,not accepted
Luca Schenato 0001,"Reminiscences ""Back in the Good Old Days..."".",content review,some sugestion,accepted
Daniel Troy,"Reminiscences ""Back in the Good Old Days..."".",content review,some sugestion,accepted
Huiqin Xie,"Reminiscences ""Back in the Good Old Days..."".",content review,some sugestion,not accepted
David Perry,Open hypermedia for product support.,content review,some sugestion,accepted
Wirt Atmar,Open hypermedia for product support.,content review,some sugestion,accepted
David Alan Grier,Open hypermedia for product support.,content review,some sugestion,not accepted
Jiang Ma,Correspondence of Trap Spaces in Different Models of Bioregulatory Networks.,content review,some sugestion,accepted
E. A. Mary Anita,Correspondence of Trap Spaces in Different Models of Bioregulatory Networks.,content review,some sugestion,accepted
Chih-Yuan Yao,Correspondence of Trap Spaces in Different Models of Bioregulatory Networks.,content review,some sugestion,not accepted
Ahmed M. Mohamed,The effects of transparency on trust in and acceptance of a content-based art recommender.,content review,some sugestion,accepted
Daniel Troy,The effects of transparency on trust in and acceptance of a content-based art recommender.,content review,some sugestion,accepted
Fabio Nobile,The effects of transparency on trust in and acceptance of a content-based art recommender.,content review,some sugestion,not accepted
Aku Riihelä,An Evolutionary Dynamic Control Cuckoo Search Algorithm for Solving the Constrained Engineering Design Problems.,content review,some sugestion,accepted
Hidehisa Yoshida,An Evolutionary Dynamic Control Cuckoo Search Algorithm for Solving the Constrained Engineering Design Problems.,content review,some sugestion,accepted
Renbiao Wu,An Evolutionary Dynamic Control Cuckoo Search Algorithm for Solving the Constrained Engineering Design Problems.,content review,some sugestion,not accepted
Cynthia Jane Solomon,Intelligent Modeling and Verification 2014.,content review,some sugestion,accepted
Diogo Poças,Intelligent Modeling and Verification 2014.,content review,some sugestion,accepted
Jan Camenisch,Intelligent Modeling and Verification 2014.,content review,some sugestion,not accepted
Erik Meineche Schmidt,MyGeoHub - A sustainable and evolving geospatial science gateway.,content review,some sugestion,accepted
Bita Alipasandi,MyGeoHub - A sustainable and evolving geospatial science gateway.,content review,some sugestion,accepted
Amir Shmuel,MyGeoHub - A sustainable and evolving geospatial science gateway.,content review,some sugestion,not accepted
Andrew J. Hinchley,Computational origami environment on the web.,content review,some sugestion,accepted
Björn Berghausen,Computational origami environment on the web.,content review,some sugestion,accepted
Hermano Frid,Computational origami environment on the web.,content review,some sugestion,not accepted
Chih-Yuan Yao,An efficient volume- rendering algorithm with an analytic approach.,content review,some sugestion,accepted
Theodosios Pavlidis,An efficient volume- rendering algorithm with an analytic approach.,content review,some sugestion,accepted
Naohisa Komatsu,An efficient volume- rendering algorithm with an analytic approach.,content review,some sugestion,not accepted
John T. Fredricksen,Product Cost Management Structures: a review and neural network modelling.,content review,some sugestion,accepted
Hidehisa Yoshida,Product Cost Management Structures: a review and neural network modelling.,content review,some sugestion,accepted
Jiaqi Zhang 0001,Product Cost Management Structures: a review and neural network modelling.,content review,some sugestion,not accepted
Wirt Atmar,UCL facsimile system.,content review,some sugestion,accepted
Alper Korkmaz,UCL facsimile system.,content review,some sugestion,accepted
Amir Bozorgzadeh,UCL facsimile system.,content review,some sugestion,not accepted
Chi-Wang Shu,A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.,content review,some sugestion,accepted
Fabian Rothmaier,A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.,content review,some sugestion,accepted
Oliver Marschollek,A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.,content review,some sugestion,not accepted
Dan Suciu,Human-computer interaction and standardization.,content review,some sugestion,accepted
André Raspaud,Human-computer interaction and standardization.,content review,some sugestion,accepted
Chi-Wang Shu,Human-computer interaction and standardization.,content review,some sugestion,not accepted
Ilan Abramovici,"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",content review,some sugestion,accepted
John T. Fredricksen,"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",content review,some sugestion,accepted
Le Deng,"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",content review,some sugestion,not accepted
Ilan Abramovici,Objective Methods for Reliable Detection of Concealed Depression.,content review,some sugestion,accepted
Ming Zhang,Objective Methods for Reliable Detection of Concealed Depression.,content review,some sugestion,accepted
Cynthia Jane Solomon,Objective Methods for Reliable Detection of Concealed Depression.,content review,some sugestion,not accepted
Babak Farzad,Argumentation and CP-Boolean Games.,content review,some sugestion,accepted
Louise A. Mawn,Argumentation and CP-Boolean Games.,content review,some sugestion,accepted
Dan Suciu,Argumentation and CP-Boolean Games.,content review,some sugestion,not accepted
Aku Riihelä,The Conditions of Solvability of the Inverse Problem of Operator Equation for a Pattern Recognition Neurooperator Model.,content review,some sugestion,accepted
Renbiao Wu,The Conditions of Solvability of the Inverse Problem of Operator Equation for a Pattern Recognition Neurooperator Model.,content review,some sugestion,accepted
E. A. Mary Anita,The Conditions of Solvability of the Inverse Problem of Operator Equation for a Pattern Recognition Neurooperator Model.,content review,some sugestion,not accepted
Oliver Marschollek,A Semantic Approach to Virtual World Standards.,content review,some sugestion,accepted
Christopher I. Amos,A Semantic Approach to Virtual World Standards.,content review,some sugestion,accepted
M. I. Cohen,A Semantic Approach to Virtual World Standards.,content review,some sugestion,not accepted
Keecheon Kim,Convergence of Sparse Collocation for Functions of Countably Many Gaussian Random Variables (with Application to Elliptic PDEs).,content review,some sugestion,accepted
David Dagan Feng,Convergence of Sparse Collocation for Functions of Countably Many Gaussian Random Variables (with Application to Elliptic PDEs).,content review,some sugestion,accepted
Aku Riihelä,Convergence of Sparse Collocation for Functions of Countably Many Gaussian Random Variables (with Application to Elliptic PDEs).,content review,some sugestion,not accepted
Qiqi Wang,Protocols for reliable data transport in space internet.,content review,some sugestion,accepted
K. R. Ramakrishnan,Protocols for reliable data transport in space internet.,content review,some sugestion,accepted
N. C. Simpson,Protocols for reliable data transport in space internet.,content review,some sugestion,not accepted
Daniel Cullina,Joint transmit antenna selection and precoding for millimeter wave massive MIMO systems.,content review,some sugestion,accepted
Vera Tilson,Joint transmit antenna selection and precoding for millimeter wave massive MIMO systems.,content review,some sugestion,accepted
Cynthia Jane Solomon,Joint transmit antenna selection and precoding for millimeter wave massive MIMO systems.,content review,some sugestion,not accepted
Hermano Frid,Stabilizing an Uncertain Production System.,content review,some sugestion,accepted
Astrid Tannert,Stabilizing an Uncertain Production System.,content review,some sugestion,accepted
Norman F. Schneidewind,Stabilizing an Uncertain Production System.,content review,some sugestion,not accepted
