reviewer,article
Lianjun Xiao,Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.
Babak Farzad,Monotonicity properties of wholesale price contracts.
Norman F. Schneidewind,Monotonicity properties of wholesale price contracts.
Cynthia Jane Solomon,Monotonicity properties of wholesale price contracts.
David T. Wong,Distance Oracles beyond the Thorup-Zwick Bound.
Hen-Wai Tsao,Distance Oracles beyond the Thorup-Zwick Bound.
Hady Pranoto,Distance Oracles beyond the Thorup-Zwick Bound.
Theodosios Pavlidis,Maximum semi-matching problem in bipartite graphs.
M. I. Cohen,Maximum semi-matching problem in bipartite graphs.
Daniel Cullina,Maximum semi-matching problem in bipartite graphs.
Oliver Marschollek,MM-DSS: Integrating multimedia and decision-making knowledge in decision support systems.
Di Li 0003,MM-DSS: Integrating multimedia and decision-making knowledge in decision support systems.
Anita Schöbel,MM-DSS: Integrating multimedia and decision-making knowledge in decision support systems.
Chi-Wang Shu,Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.
Arvind Ramanathan,Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.
Kwok-Kai Soo,Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.
Huijun Wu,Problem 11378.
Kwok-Kai Soo,Problem 11378.
Anita Schöbel,Problem 11378.
Wirt Atmar,Software Productivity in DevOps.
Erik Meineche Schmidt,Software Productivity in DevOps.
Daniela Guaiana,Software Productivity in DevOps.
Roy Edgar Hansen,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.
Akira Suzuki,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.
David Perry,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.
N. C. Simpson,Improving amplify-and-forward relay networks: optimal power allocation versus selection.
Roy Edgar Hansen,Improving amplify-and-forward relay networks: optimal power allocation versus selection.
Huijun Wu,Improving amplify-and-forward relay networks: optimal power allocation versus selection.
Dinesh Manocha,Updating the Agenda for Academic Libraries and Scholarly Communications.
Wirt Atmar,Updating the Agenda for Academic Libraries and Scholarly Communications.
Robert Finger,Updating the Agenda for Academic Libraries and Scholarly Communications.
C. G. Parthipan,Creating accessible educational multimedia through editing automatic speech recognition captioning in real time.
Kwok-Kai Soo,Creating accessible educational multimedia through editing automatic speech recognition captioning in real time.
Hen-Wai Tsao,Creating accessible educational multimedia through editing automatic speech recognition captioning in real time.
Fabio Nobile,An extended KCF tracking algorithm based on TLD structure in low frame rate videos.
Louise A. Mawn,An extended KCF tracking algorithm based on TLD structure in low frame rate videos.
Anita Schöbel,An extended KCF tracking algorithm based on TLD structure in low frame rate videos.
Chi-Sang Jung,An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.
Kanad Chakraborty,An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.
Vera Tilson,An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.
Abbas Heydari,Into Scandinavia: When Online Fatherhood Reflects Societal Infrastructures.
David Dagan Feng,Into Scandinavia: When Online Fatherhood Reflects Societal Infrastructures.
Wirt Atmar,Into Scandinavia: When Online Fatherhood Reflects Societal Infrastructures.
Andrew J. Hinchley,Localized measurement of image fractal dimension using gabor filters.
Arthur J. Davidson,Localized measurement of image fractal dimension using gabor filters.
Abbas Heydari,Localized measurement of image fractal dimension using gabor filters.
Daniel Troy,Representation Learning for EEG-Based Biometrics Using Hilbert-Huang Transform.
Oliver Marschollek,Representation Learning for EEG-Based Biometrics Using Hilbert-Huang Transform.
David T. Wong,Representation Learning for EEG-Based Biometrics Using Hilbert-Huang Transform.
Lukasz Maksymiuk,"Code Growth, Explicitly Defined Introns, and Alternative Selection Schemes."
Heike Siebert,"Code Growth, Explicitly Defined Introns, and Alternative Selection Schemes."
Daniela Guaiana,"Code Growth, Explicitly Defined Introns, and Alternative Selection Schemes."
Amir Bozorgzadeh,On constrained 2-Partitions of monochromatic sets and generalizations in the sense of Erdos-Ginzburg-Ziv.
Dan Suciu,On constrained 2-Partitions of monochromatic sets and generalizations in the sense of Erdos-Ginzburg-Ziv.
David Perry,On constrained 2-Partitions of monochromatic sets and generalizations in the sense of Erdos-Ginzburg-Ziv.
Moulay A. Barkatou,Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.
Kanad Chakraborty,Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.
Amaro de Sousa,Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.
Daniel Cullina,Does virtual reality affect behavioral intention? Testing engagement processes in a K-Pop video on YouTube.
Jan Camenisch,Does virtual reality affect behavioral intention? Testing engagement processes in a K-Pop video on YouTube.
Hady Pranoto,Does virtual reality affect behavioral intention? Testing engagement processes in a K-Pop video on YouTube.
Akira Suzuki,Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.
Jiaqi Zhang 0001,Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.
Daniel Cullina,Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.
Ming Zhang,Das Regionale Wirtschaftsarchiv in Berlin.
Laurent Chupin,Das Regionale Wirtschaftsarchiv in Berlin.
C. G. Parthipan,Das Regionale Wirtschaftsarchiv in Berlin.
Alper Korkmaz,Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.
Norman F. Schneidewind,Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.
Jiaqi Zhang 0001,Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.
André Raspaud,Dimension quotients of metabelian Lie rings.
Keecheon Kim,Dimension quotients of metabelian Lie rings.
Kwok-Kai Soo,Dimension quotients of metabelian Lie rings.
Dok Nam Lee,Density of Extremal Sets in Multivariate Chebyshev Approximation.
Anita Schöbel,Density of Extremal Sets in Multivariate Chebyshev Approximation.
Laurent Chupin,Density of Extremal Sets in Multivariate Chebyshev Approximation.
David Perry,Influence of the residual stress state of coatings on the wear behavior in external turning of AISI 4140 and Ti-6Al-4V.
Ahmed M. Mohamed,Influence of the residual stress state of coatings on the wear behavior in external turning of AISI 4140 and Ti-6Al-4V.
Anton Schiela,Influence of the residual stress state of coatings on the wear behavior in external turning of AISI 4140 and Ti-6Al-4V.
K. R. Ramakrishnan,Editorial on the special issue of RTNS 2020.
David Alan Grier,Editorial on the special issue of RTNS 2020.
Jiaqi Zhang 0001,Editorial on the special issue of RTNS 2020.
Jiaqi Zhang 0001,Markov Chain Model for Events Following Induced Abortion.
David Dagan Feng,Markov Chain Model for Events Following Induced Abortion.
Jiang Ma,Markov Chain Model for Events Following Induced Abortion.
Chih-Yuan Yao,An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.
Gabriel M. Silberman,An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.
Robert Finger,An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.
Vera Tilson,Path partition for graphs with special blocks.
Daniela Guaiana,Path partition for graphs with special blocks.
Hai-Wei Sun,Path partition for graphs with special blocks.
K. R. Ramakrishnan,Shape symmetry analysis of breast tumors on ultrasound images.
Daniela Guaiana,Shape symmetry analysis of breast tumors on ultrasound images.
Arvind Ramanathan,Shape symmetry analysis of breast tumors on ultrasound images.
André Raspaud,Piezo/Tribotronics Toward Smart Flexible Sensors.
Chi-Sang Jung,Piezo/Tribotronics Toward Smart Flexible Sensors.
Ming Zhang,Piezo/Tribotronics Toward Smart Flexible Sensors.
Aida Pliuskeviciene,"Triangular intuitionistic fuzzy random decision making based on combination of parametric estimation, score functions, and prospect theory."
Heike Siebert,"Triangular intuitionistic fuzzy random decision making based on combination of parametric estimation, score functions, and prospect theory."
E. Lerzan Örmeci,"Triangular intuitionistic fuzzy random decision making based on combination of parametric estimation, score functions, and prospect theory."
Luca Schenato 0001,"Reminiscences ""Back in the Good Old Days...""."
Daniel Troy,"Reminiscences ""Back in the Good Old Days...""."
Huiqin Xie,"Reminiscences ""Back in the Good Old Days...""."
David Perry,Open hypermedia for product support.
Wirt Atmar,Open hypermedia for product support.
David Alan Grier,Open hypermedia for product support.
Jiang Ma,Correspondence of Trap Spaces in Different Models of Bioregulatory Networks.
E. A. Mary Anita,Correspondence of Trap Spaces in Different Models of Bioregulatory Networks.
Chih-Yuan Yao,Correspondence of Trap Spaces in Different Models of Bioregulatory Networks.
Ahmed M. Mohamed,The effects of transparency on trust in and acceptance of a content-based art recommender.
Daniel Troy,The effects of transparency on trust in and acceptance of a content-based art recommender.
Fabio Nobile,The effects of transparency on trust in and acceptance of a content-based art recommender.
Aku Riihelä,An Evolutionary Dynamic Control Cuckoo Search Algorithm for Solving the Constrained Engineering Design Problems.
Hidehisa Yoshida,An Evolutionary Dynamic Control Cuckoo Search Algorithm for Solving the Constrained Engineering Design Problems.
Renbiao Wu,An Evolutionary Dynamic Control Cuckoo Search Algorithm for Solving the Constrained Engineering Design Problems.
Cynthia Jane Solomon,Intelligent Modeling and Verification 2014.
Diogo Poças,Intelligent Modeling and Verification 2014.
Jan Camenisch,Intelligent Modeling and Verification 2014.
Erik Meineche Schmidt,MyGeoHub - A sustainable and evolving geospatial science gateway.
Bita Alipasandi,MyGeoHub - A sustainable and evolving geospatial science gateway.
Amir Shmuel,MyGeoHub - A sustainable and evolving geospatial science gateway.
Andrew J. Hinchley,Computational origami environment on the web.
Björn Berghausen,Computational origami environment on the web.
Hermano Frid,Computational origami environment on the web.
Chih-Yuan Yao,An efficient volume- rendering algorithm with an analytic approach.
Theodosios Pavlidis,An efficient volume- rendering algorithm with an analytic approach.
Naohisa Komatsu,An efficient volume- rendering algorithm with an analytic approach.
John T. Fredricksen,Product Cost Management Structures: a review and neural network modelling.
Hidehisa Yoshida,Product Cost Management Structures: a review and neural network modelling.
Jiaqi Zhang 0001,Product Cost Management Structures: a review and neural network modelling.
Wirt Atmar,UCL facsimile system.
Alper Korkmaz,UCL facsimile system.
Amir Bozorgzadeh,UCL facsimile system.
Chi-Wang Shu,A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.
Fabian Rothmaier,A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.
Oliver Marschollek,A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.
Dan Suciu,Human-computer interaction and standardization.
André Raspaud,Human-computer interaction and standardization.
Chi-Wang Shu,Human-computer interaction and standardization.
Ilan Abramovici,"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7."
John T. Fredricksen,"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7."
Le Deng,"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7."
Ilan Abramovici,Objective Methods for Reliable Detection of Concealed Depression.
Ming Zhang,Objective Methods for Reliable Detection of Concealed Depression.
Cynthia Jane Solomon,Objective Methods for Reliable Detection of Concealed Depression.
Babak Farzad,Argumentation and CP-Boolean Games.
Louise A. Mawn,Argumentation and CP-Boolean Games.
Dan Suciu,Argumentation and CP-Boolean Games.
Aku Riihelä,The Conditions of Solvability of the Inverse Problem of Operator Equation for a Pattern Recognition Neurooperator Model.
Renbiao Wu,The Conditions of Solvability of the Inverse Problem of Operator Equation for a Pattern Recognition Neurooperator Model.
E. A. Mary Anita,The Conditions of Solvability of the Inverse Problem of Operator Equation for a Pattern Recognition Neurooperator Model.
Oliver Marschollek,A Semantic Approach to Virtual World Standards.
Christopher I. Amos,A Semantic Approach to Virtual World Standards.
M. I. Cohen,A Semantic Approach to Virtual World Standards.
Keecheon Kim,Convergence of Sparse Collocation for Functions of Countably Many Gaussian Random Variables (with Application to Elliptic PDEs).
David Dagan Feng,Convergence of Sparse Collocation for Functions of Countably Many Gaussian Random Variables (with Application to Elliptic PDEs).
Aku Riihelä,Convergence of Sparse Collocation for Functions of Countably Many Gaussian Random Variables (with Application to Elliptic PDEs).
Qiqi Wang,Protocols for reliable data transport in space internet.
K. R. Ramakrishnan,Protocols for reliable data transport in space internet.
N. C. Simpson,Protocols for reliable data transport in space internet.
Daniel Cullina,Joint transmit antenna selection and precoding for millimeter wave massive MIMO systems.
Vera Tilson,Joint transmit antenna selection and precoding for millimeter wave massive MIMO systems.
Cynthia Jane Solomon,Joint transmit antenna selection and precoding for millimeter wave massive MIMO systems.
Hermano Frid,Stabilizing an Uncertain Production System.
Astrid Tannert,Stabilizing an Uncertain Production System.
Norman F. Schneidewind,Stabilizing an Uncertain Production System.
Christopher I. Amos,Small-Cell Assisted Group Paging for Massive MTC in LTE Networks: Design and Analysis.
Mazen O. Hasna,Small-Cell Assisted Group Paging for Massive MTC in LTE Networks: Design and Analysis.
Wirt Atmar,Small-Cell Assisted Group Paging for Massive MTC in LTE Networks: Design and Analysis.
John T. Fredricksen,A Wave Digital Newton-Raphson Method for Virtual Analog Modeling of Audio Circuits with Multiple One-Port Nonlinearities.
K. R. Ramakrishnan,A Wave Digital Newton-Raphson Method for Virtual Analog Modeling of Audio Circuits with Multiple One-Port Nonlinearities.
Di Li 0003,A Wave Digital Newton-Raphson Method for Virtual Analog Modeling of Audio Circuits with Multiple One-Port Nonlinearities.
Hidehisa Yoshida,A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.
Lukasz Maksymiuk,A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.
Erik Meineche Schmidt,A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.
Le Deng,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.
Karl-Heinz Best,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.
Osama Rashed Sayed,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.
Arun Mittal,An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.
Duyan Bi,An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.
K. R. Ramakrishnan,An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.
Chi-Wang Shu,Linear transformations for cross-lingual semantic textual similarity.
Dan Suciu,Linear transformations for cross-lingual semantic textual similarity.
Qiqi Wang,Linear transformations for cross-lingual semantic textual similarity.
S. Twomey,Offline signature verification using shape correspondence.
David Perry,Offline signature verification using shape correspondence.
Wirt Atmar,Offline signature verification using shape correspondence.
Duyan Bi,Analysis of the Reliability of LoRa.
Chi-Sang Jung,Analysis of the Reliability of LoRa.
Fabio Nobile,Analysis of the Reliability of LoRa.
Babak Farzad,Improved Electric Field Distribution Within Bushing Insulation by EP/GO Nanocomposites With Reduced Temperature Coefficient of Conductivity.
Cynthia Jane Solomon,Improved Electric Field Distribution Within Bushing Insulation by EP/GO Nanocomposites With Reduced Temperature Coefficient of Conductivity.
E. A. Mary Anita,Improved Electric Field Distribution Within Bushing Insulation by EP/GO Nanocomposites With Reduced Temperature Coefficient of Conductivity.
Adel El-Faraskoury,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices."
Theodore Hailperin,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices."
Daniela Guaiana,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices."
David Dagan Feng,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.
Astrid Tannert,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.
Theodore Hailperin,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.
Björn Berghausen,Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.
Lukasz Maksymiuk,Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.
Mazen O. Hasna,Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.
Renbiao Wu,Time discretization and stability regions for dissipative-dispersive Kuramoto-Sivashinsky equation arising in turbulent gas flow over laminar liquid.
Osama Rashed Sayed,Time discretization and stability regions for dissipative-dispersive Kuramoto-Sivashinsky equation arising in turbulent gas flow over laminar liquid.
Danni Zhu,Time discretization and stability regions for dissipative-dispersive Kuramoto-Sivashinsky equation arising in turbulent gas flow over laminar liquid.
Babak Farzad,Intraoperative visualization of cerebral oxygenation using hyperspectral image data: a two-dimensional mapping method.
Abbas Heydari,Intraoperative visualization of cerebral oxygenation using hyperspectral image data: a two-dimensional mapping method.
André Raspaud,Intraoperative visualization of cerebral oxygenation using hyperspectral image data: a two-dimensional mapping method.
Lukasz Maksymiuk,Drivers and barriers for secure hardware adoption across ecosystem stakeholders.
Andrew J. Hinchley,Drivers and barriers for secure hardware adoption across ecosystem stakeholders.
Hidehisa Yoshida,Drivers and barriers for secure hardware adoption across ecosystem stakeholders.
Dinesh Manocha,Development of a Novel Burned-Area Subpixel Mapping (BASM) Workflow for Fire Scar Detection at Subpixel Level.
Fabian Rothmaier,Development of a Novel Burned-Area Subpixel Mapping (BASM) Workflow for Fire Scar Detection at Subpixel Level.
Norman F. Schneidewind,Development of a Novel Burned-Area Subpixel Mapping (BASM) Workflow for Fire Scar Detection at Subpixel Level.
Aida Pliuskeviciene,Erste Überlegungen zur Erklärbarkeit von Deep-Learning-Modellen für die Analyse von Quellcode.
E. Lerzan Örmeci,Erste Überlegungen zur Erklärbarkeit von Deep-Learning-Modellen für die Analyse von Quellcode.
Louise A. Mawn,Erste Überlegungen zur Erklärbarkeit von Deep-Learning-Modellen für die Analyse von Quellcode.
Ahmed M. Mohamed,On the Convergence of Decentralized Gradient Descent.
Fabio Nobile,On the Convergence of Decentralized Gradient Descent.
Haowei Xu,On the Convergence of Decentralized Gradient Descent.
Wirt Atmar,Developing the New Learning Environment: The Changing Role of the Academic Librarian.
Andrzej Omieljanowicz,Developing the New Learning Environment: The Changing Role of the Academic Librarian.
Bita Alipasandi,Developing the New Learning Environment: The Changing Role of the Academic Librarian.
Amir Bozorgzadeh,"Deanna Marcum and Roger C. Schonfeld. Along Came Google: A History of Library Digitization. Princeton, NJ: Princeton University Press, 2021. 232p. Hardcover, $25.99 (ISBN: 978-0691172712)."
Amir Shmuel,"Deanna Marcum and Roger C. Schonfeld. Along Came Google: A History of Library Digitization. Princeton, NJ: Princeton University Press, 2021. 232p. Hardcover, $25.99 (ISBN: 978-0691172712)."
Adel El-Faraskoury,"Deanna Marcum and Roger C. Schonfeld. Along Came Google: A History of Library Digitization. Princeton, NJ: Princeton University Press, 2021. 232p. Hardcover, $25.99 (ISBN: 978-0691172712)."
Dok Nam Lee,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Amaro de Sousa,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Daniel Troy,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Daniela Guaiana,Expanding risk consideration in integrated models - The role of downside risk aversion in irrigation decisions.
Wirt Atmar,Expanding risk consideration in integrated models - The role of downside risk aversion in irrigation decisions.
Bettina Klaus,Expanding risk consideration in integrated models - The role of downside risk aversion in irrigation decisions.
David Perry,A Hybrid BCI Based on SSVEP and EOG for Robotic Arm Control.
Babak Farzad,A Hybrid BCI Based on SSVEP and EOG for Robotic Arm Control.
Fabio Nobile,A Hybrid BCI Based on SSVEP and EOG for Robotic Arm Control.
Andrzej Omieljanowicz,k-Efficient domination: Algorithmic perspective.
N. C. Simpson,k-Efficient domination: Algorithmic perspective.
Renbiao Wu,k-Efficient domination: Algorithmic perspective.
Huiqin Xie,Control of clock signals.
Hidehisa Yoshida,Control of clock signals.
Fabio Nobile,Control of clock signals.
Abbas Heydari,Efficient Gridless Angle Estimation for Bistatic MIMO Radar With Planar Arrays.
Gabriel M. Silberman,Efficient Gridless Angle Estimation for Bistatic MIMO Radar With Planar Arrays.
Arthur J. Davidson,Efficient Gridless Angle Estimation for Bistatic MIMO Radar With Planar Arrays.
Dok Nam Lee,Effect of Game Based Balance Exercises on Rehabilitation After Knee Surgery: A Controlled Observational Study.
Abbas Heydari,Effect of Game Based Balance Exercises on Rehabilitation After Knee Surgery: A Controlled Observational Study.
Jiaqi Zhang 0001,Effect of Game Based Balance Exercises on Rehabilitation After Knee Surgery: A Controlled Observational Study.
Laurent Chupin,A Simulation-Based Approach to Decision Making with Partial Information.
Arun Mittal,A Simulation-Based Approach to Decision Making with Partial Information.
Erik Meineche Schmidt,A Simulation-Based Approach to Decision Making with Partial Information.
Robert Finger,Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.
Chih-Yuan Yao,Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.
Wirt Atmar,Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.
David Dagan Feng,Power allocation in vector estimation systems with the impact of wireless channel uncertainty.
Hai-Wei Sun,Power allocation in vector estimation systems with the impact of wireless channel uncertainty.
Jiaqi Zhang 0001,Power allocation in vector estimation systems with the impact of wireless channel uncertainty.
Theodore Hailperin,Toward Universal Stripe Removal via Wavelet-Based Deep Convolutional Neural Network.
Chi-Sang Jung,Toward Universal Stripe Removal via Wavelet-Based Deep Convolutional Neural Network.
Aku Riihelä,Toward Universal Stripe Removal via Wavelet-Based Deep Convolutional Neural Network.
Karl-Heinz Best,Local search heuristics for multi-index assignment problems with decomposable costs.
Arturo Molina 0001,Local search heuristics for multi-index assignment problems with decomposable costs.
Louise A. Mawn,Local search heuristics for multi-index assignment problems with decomposable costs.
Kanad Chakraborty,Private Cloud-Infrastrukturen und Cloud-Plattformen.
Naohisa Komatsu,Private Cloud-Infrastrukturen und Cloud-Plattformen.
David Perry,Private Cloud-Infrastrukturen und Cloud-Plattformen.
Astrid Tannert,Dynamic changes in the secondary structure of ECE-1 and XCE account for their different substrate specificities.
Arun Mittal,Dynamic changes in the secondary structure of ECE-1 and XCE account for their different substrate specificities.
Dan Suciu,Dynamic changes in the secondary structure of ECE-1 and XCE account for their different substrate specificities.
Karl-Heinz Best,A clustering detector with graph theory for blind detection of spatial modulation systems.
Diogo Poças,A clustering detector with graph theory for blind detection of spatial modulation systems.
Fabian Rothmaier,A clustering detector with graph theory for blind detection of spatial modulation systems.
Erik Meineche Schmidt,Inferring Bias and Uncertainty in Camera Calibration.
Danni Zhu,Inferring Bias and Uncertainty in Camera Calibration.
Theodore Hailperin,Inferring Bias and Uncertainty in Camera Calibration.
Jiaqi Zhang 0001,Keyword Search Over Probabilistic RDF Graphs.
Arun Mittal,Keyword Search Over Probabilistic RDF Graphs.
Andrzej Omieljanowicz,Keyword Search Over Probabilistic RDF Graphs.
Wirt Atmar,Incremental-data stealth-transmission method in DSSS.
Hady Pranoto,Incremental-data stealth-transmission method in DSSS.
Louise A. Mawn,Incremental-data stealth-transmission method in DSSS.
Akira Suzuki,An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.
Anna Maria Paganoni,An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.
Daniel Troy,An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.
Fabio Nobile,Bottom-up action modeling via spatial factorization for serving food.
Jiaqi Zhang 0001,Bottom-up action modeling via spatial factorization for serving food.
John T. Fredricksen,Bottom-up action modeling via spatial factorization for serving food.
Huijun Wu,Correlation analysis of target echoes using distributed transmit array.
Anna Maria Paganoni,Correlation analysis of target echoes using distributed transmit array.
Constant Solimando,Correlation analysis of target echoes using distributed transmit array.
Cynthia Jane Solomon,Secure Transmission in Linear Multihop Relaying Networks.
Roy Edgar Hansen,Secure Transmission in Linear Multihop Relaying Networks.
Heike Siebert,Secure Transmission in Linear Multihop Relaying Networks.
Arun Mittal,Group Divisible Designs with Block Size Four and Group Type 
Huijun Wu,Group Divisible Designs with Block Size Four and Group Type 
Hidehisa Yoshida,Group Divisible Designs with Block Size Four and Group Type 
Erik Meineche Schmidt,Learning the Graph Edit Costs Based on a Learning Model Applied to Sub-optimal Graph Matching.
Oliver Marschollek,Learning the Graph Edit Costs Based on a Learning Model Applied to Sub-optimal Graph Matching.
Jiaqi Zhang 0001,Learning the Graph Edit Costs Based on a Learning Model Applied to Sub-optimal Graph Matching.
Daniel Troy,Informationssysteme in der Medizin.
Andrew J. Hinchley,Informationssysteme in der Medizin.
Danni Zhu,Informationssysteme in der Medizin.
Alper Korkmaz,DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.
Aku Riihelä,DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.
E. A. Mary Anita,DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.
Oliver Marschollek,mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.
Astrid Tannert,mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.
Robert Finger,mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.
Alper Korkmaz,A computer-aided approach to identify novel Leishmania major protein disulfide isomerase inhibitors for treatment of leishmaniasis.
Anna Maria Paganoni,A computer-aided approach to identify novel Leishmania major protein disulfide isomerase inhibitors for treatment of leishmaniasis.
Di Li 0003,A computer-aided approach to identify novel Leishmania major protein disulfide isomerase inhibitors for treatment of leishmaniasis.
Cynthia Jane Solomon,On the edge-density of 4-critical graphs.
Björn Berghausen,On the edge-density of 4-critical graphs.
Renbiao Wu,On the edge-density of 4-critical graphs.
Christopher I. Amos,Distributed Dual Gradient Tracking for Resource Allocation in Unbalanced Networks.
K. R. Ramakrishnan,Distributed Dual Gradient Tracking for Resource Allocation in Unbalanced Networks.
Hai-Wei Sun,Distributed Dual Gradient Tracking for Resource Allocation in Unbalanced Networks.
Amir Shmuel,Technological innovations in hospitals: what kind of competitive advantage does adoption lead to?
Hai-Wei Sun,Technological innovations in hospitals: what kind of competitive advantage does adoption lead to?
Dok Nam Lee,Technological innovations in hospitals: what kind of competitive advantage does adoption lead to?
Laurent Chupin,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
David Alan Grier,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
Ahmed M. Mohamed,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
Amir Shmuel,tacmagic: Positron emission tomography analysis in R.
Chih-Yuan Yao,tacmagic: Positron emission tomography analysis in R.
Daniela Guaiana,tacmagic: Positron emission tomography analysis in R.
Anita Schöbel,Domain-Independent Queries on Databases with External Functions.
Aida Pliuskeviciene,Domain-Independent Queries on Databases with External Functions.
N. C. Simpson,Domain-Independent Queries on Databases with External Functions.
Abbas Heydari,Secondary use of electronic health record data for clinical workflow analysis.
Anita Schöbel,Secondary use of electronic health record data for clinical workflow analysis.
Luca Schenato 0001,Secondary use of electronic health record data for clinical workflow analysis.
Andrzej Omieljanowicz,Performance-Driven Assignment of Buffered I/O Signals in Area-I/O Flip-Chip Designs.
Ahmed M. Mohamed,Performance-Driven Assignment of Buffered I/O Signals in Area-I/O Flip-Chip Designs.
Astrid Tannert,Performance-Driven Assignment of Buffered I/O Signals in Area-I/O Flip-Chip Designs.
Hen-Wai Tsao,"A Common Set of Perceptual Observables for Grouping, Figure-Ground Discrimination, and Texture Classification."
Dariusz Fabianowski,"A Common Set of Perceptual Observables for Grouping, Figure-Ground Discrimination, and Texture Classification."
Di Li 0003,"A Common Set of Perceptual Observables for Grouping, Figure-Ground Discrimination, and Texture Classification."
Abbas Heydari,Estimating the extra costs imposed on delivery vehicles using access time windows in a city.
Diogo Poças,Estimating the extra costs imposed on delivery vehicles using access time windows in a city.
Andrzej Omieljanowicz,Estimating the extra costs imposed on delivery vehicles using access time windows in a city.
Dok Nam Lee,A deep learning based method benefiting from characteristics of patents for semantic relation classification.
