title,author
Pulse width modulation for multi-agent systems.,Dimos V. Dimarogonas
Supervisory control of hybrid systems.,James A. Stiver
Model-free reconfiguration mechanism for fault tolerance.,Dominique Sauter
Cascading classifier with discriminative multi-features for a specific 3D object real-time detection.,Jing Wen Xu
Blind Suppression of Nonstationary Diffuse Acoustic Noise Based on Spatial Covariance Matrix Decomposition.,Emmanuel Vincent 0001
Sensitivity Analysis of Limit-Cycle Oscillating Hybrid Systems.,Kamil A. Khan
On the impossibility of dimension reduction in l,Bo Brinkman
Grid k-d tree approach for point location in polyhedral data sets - application to explicit MPC.,Ju Zhang 0004
Introduction to special section ESTIMedia'09.,Andy D. Pimentel
On multi-objective covering salesman problem.,Amiya Biswas
Optimal Sizing and Location of Distributed Generators for Power Flow Analysis in Smart Grid Using IAS-MVPA Strategy.,Kumar Cherukupalli
Semantic Image Segmentation Method with Multiple Adjacency Trees and Multiscale Features.,Jun Xie
Fractional Order Correlation Algorithm's Accuracy Analysis.,Mingliang Hou
Impact on circuit performance of deterministic within-die variation in nanoscale semiconductor manufacturing.,Linda S. Milor
Recognition of Transportation State by Smartphone Sensors Using Deep Bi-LSTM Neural Network.,Chunning Hou
The second law of geography for a spatially enabled economy.,Ruth Luscombe
Massively parallel simulations of neurovascular coupling with extracellular diffusion.,Allanah Kenny
Environmental Monitoring System for Smart City Based on Secure Internet of Things (IoT) Architecture.,Priti Maheshwary
Continuity and Realizability of Sequence Transformations.,Leo Hellerman
Two sufficient conditions for a graph to be type 1.,Anthony J. W. Hilton
Strong duality and minimal representations for cone optimization.,Henry Wolkowicz
Computational methods for automated analysis of corneal nerve images: Lessons learned from retinal fundus image analysis.,Tooba Salahuddin
On the Equivalence Between Roof Duality and Lagrangian Duality for Unconstrained 0-1 Quadratic Programming Problems.,Perino M. Dearing
A Note on Singular Edges and Hamiltonicity in Claw-Free Graphs with Locally Disconnected Vertices.,Liming Xiong
CRITON: A Hypermedia Design Tool.,Paris Avgeriou
On Fuzzy M-Sets and Fuzzy M-Continuity.,Chun-Kee Park
Range-Spread Target Detection using Consecutive HRRPs.,Hongwei Liu 0001
A near-field-sensing transceiver for intrabody communication based on the electrooptic effect.,Hakaru Kyuragi
Robust PI controller design with respect to fuzzy sensitivity margins.,Petr Husek
A Mobile Agent Approach for Secure Integrated Medical Information Systems.,Chia-Hui Liu
Nonisotropic Spatiotemporal Chaotic Vibration of the Wave equation due to Mixing Energy Transport and a van der Pol Boundary Condition.,Goong Chen
Sound and complete qualitative simulation is impossible.,A. C. Cem Say
Faster First-Order Methods for Stochastic Non-Convex Optimization on Riemannian Manifolds.,Jiashi Feng
Smoke-Ring Solutions of Gierer-Meinhardt System in R,Theodore Kolokolnikov
Measuring the citation impact of research journals in clinical neurology: A structural equation modelling analysis.,Concepción S. Wilson
Unavoidable subhypergraphs: a-clusters.,Lale Özkahya
Yet another paradefinite logic: The role of conflation1.,Norihiro Kamide
Attentive occlusion-adaptive deep network for facial landmark detection.,Daming Shi 0001
Deep learning framework for saliency object detection based on global prior and local context.,Cancan Li
Near-Optimal Bayesian Ambiguity Sets for Distributionally Robust Optimization.,Vishal Gupta 0004
A New Algorithm for Parallel Connected-Component Labelling on GPUs.,Daniel P. Playne
POWER3: The next generation of PowerPC processors.,Frank P. O'Connell
"Better Tools for Kernel Evolution, Please!",Marc E. Fiuczynski
Learning from User Behavior in Image Retrieval: Application of Market Basket Analysis.,David Squire
Gesture Controlled Mouse.,Anuragh Singh
Potential of Melt Pond Fraction Retrieval From High Spatial Resolution AMSR-E/2 Channels.,Randall Kenneth Scharien
Polarimetric Response of Landslides at X-Band Following the Wenchuan Earthquake.,Bochen Li
ACE-OT: Polarimetric SAR Data-Based Amplitude Contrast Enhancement Algorithm for Offset Tracking Applications.,Feng Zhao
Capturing Users' Tacit Knowledge in ERP Implementation: an Exploratory Multi-Site Case Study.,Ramaraj Palanisamy
Facilitating the development of Preservice teachers' proportional reasoning in geometric similarity problems using augmented reality activities.,Bilal Özçakir
Dynamic Memories with Faster Random and Sequential Access.,Chak-Kuen Wong
Natural preparation behavior synthesis.,Edmond S. L. Ho
How does processor MHz relate to end-user performance? II. Memory subsystem and instruction set.,G. Jeanette McWilliams
Cooperative enclosing control for multiple moving targets by a group of agents.,Kok Lay Teo
Learning How to Construct Models of Dynamic Systems: An Initial Evaluation of the Dragoon Intelligent Tutoring System.,Brett van de Sande
Effects of voltage-waveform distortion in TCR-type compensators.,Antonio López
Intelligent distributed routing scheme based on social similarity for mobile social networks.,Fang Xu 0001
AI minds need to think about energy constraints.,Indre Zliobaite
Analog timing recovery for a noise-predictive decision-feedback equalizer.,John P. Keane
Probabilistic models for intuitionistic predicate logic.,George Georgescu
The helmet head restraint system: A viable solution for resting state fMRI in awake monkeys.,Alessandro Farnè
Rotational circulant graphs.,Alison Thomson
Solving the undirected minimum cost flow problem with arbitrary costs.,Antonio Sedeño-Noda
Factors influencing Iranian teachers' use of computer assisted pronunciation teaching (CAPT).,Abbas Pourhosein Gilakjani
Array-index: a plug&search K nearest neighbors method for high-dimensional data.,Zaher Al Aghbari
The laminar profile of sleep spindles in humans.,Boglárka Hajnal
Channel Capacity Analysis over Slow Fading Environment: Unified Truncated Moment Generating Function Approach.,Karmeshu
Old But Not Out: Social Media Use and Older Adults' Life Satisfaction.,Angsana A. Techatassanasoontorn
Rise of the swarm.,Gregory Mone
Low SNR Capacity of FSO Links over Gamma-Gamma Atmospheric Turbulence Channels.,Fatma Benkhelifa
A knowledge structures exploration on social network sites.,Angel Francisco Villarejo Ramos
Synchrotron Radiation Taking External Influences into Account.,Vladimir Cheslavovich Zhukovsky
Prediction of exchange rates using averaging intrinsic mode function and multiclass support vector regression.,Bhusana Premanode
A class of replacement policies for medium and high-associativity structures.,Jean Gobert
"A New Class of Molecular Shape Descriptors, 1. Theory and Properties.",David G. Covell
On the Performance of Splitting Receiver With Joint Coherent and Non-Coherent Processing.,Guanghui Liu
Niching chimp optimization for constraint multimodal engineering optimization problems.,Mohammad Khishe
The evaluation of the decision support system for colon cancer treatment based on the information profiles integrating clinical and genetic data.,Konrad Matysiak
Good Lattice Rules in Weighted Korobov Spaces with General Weights.,Henryk Wozniakowski
Navigation Satellite Clock Error Prediction Based on Functional Network.,Bo Xu
Dynamic matchings in left vertex weighted convex bipartite graphs.,Bin Yu
Delayed Feedback Versus Seasonal Forcing: Resonance Phenomena in an El Nin͂o Southern Oscillation Model.,Andrew Keane 0002
Machine learning in medical imaging.,Daoqiang Zhang
Transmission protocol selection for dual-hop amplifyand-forward relaying networks.,Zhang Yingnan
"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks.",Elena M. Votinova
Smarandache hyper BCC-algebra.,A. Ahadpanah
Improving data classification accuracy in sensor networks using hybrid outlier detection in HAR.,Nivetha Gopalakrishnan
Random Access and Source-Channel Coding Error Exponents for Multiple Access Channels.,Lóránt Farkas
A Flexible and Accurate Solver for Continuous-Time Algebraic Riccati Equations.,Vasile Sima
Robust H,Songjiao Shi
The going-up and going-down theorems in residuated lattices.,Saeed Rasouli
Size Optimization of Distributed Generation Resources in Microgrids with Considering Uncertainty Units Based on Scenario Tree.,M. Esa Nezhad Bushehri
Exact algorithms for computing p-values of statistics-linear combination of 3-nomial variables.,Farid Beninel
A Novel Deep Learning Model for the Detection and Identification of Rolling Element-Bearing Faults.,Alex Shenfield
Design and Modeling of an Interval-based ABR Flow Control Protocol.,Hussein T. Mouftah
Software development in startup companies: A systematic mapping study.,Carmine Giardino
The citation impact of articles from which authors gained monetary rewards based on journal metrics.,Gabriel-Alexandru Vîiu
Pattern Recognition.,King-Sun Fu
"Editorial Vol. 8, Issue 4.",Alessandro De Gloria
Styx: Privacy risk communication for the Android smartphone platform based on apps' data-access behavior patterns.,Gökhan Bal
Facial shape-from-shading using features detection method.,Lyes Abada
The Influence of Globally Ungrammatical Local Syntactic Constraints on Real-Time Sentence Comprehension: Evidence From the Visual World Paradigm and Reading.,Anuenue Kukona
Quantitative Estimation of the Nonstationary Behavior of Neural Spontaneous Activity.,Amanda Ferreira Neves
Embedded implementation of template matching using correlation and particle swarm optimisation.,Luiza de Macedo Mourelle
Stokes parameters and DOAs estimation of partially polarized sources using a EM vector sensor.,Fei Yu
An investigation of ICT knowledge and skills in Vietnam.,Graham Kenneth Winley
Adaptive routing protocol for urban vehicular networks to support sellers and buyers on wheels.,Deepak Puthal
OGO: an ontological approach for integrating knowledge about orthology.,Jesualdo Tomás Fernández-Breis
Parameter estimation of inverse Lindley distribution for Type-I censored data.,Sanjay Kumar Singh
Some Decision Problems about Controlled Rewriting Systems.,Géraud Sénizergues
Permanence and Asymptotically Stable Complete Trajectories for Nonautonomous Lotka-Volterra Models with Diffusion.,Antonio Suárez
An Information Potential Approach to Integrated Sensor Path Planning and Control.,Guoxian Zhang
Set Partition Complexes.,Alexander Engström
Role of the Pulse Repetition Rate when Assessing Electromagnetic Immunity of Electronic Devices.,Vladimir Chepelev
Development of a Microforce Sensor and Its Array Platform for Robotic Cell Microinjection Force Measurement.,Lingyun Wang
Invisible steganography via generative adversarial networks.,Jianyi Liu
Psychological stress detection using phonocardiography signal: An empirical mode decomposition approach.,Amandeep Cheema
A General Implementation of Relational Recursion with Speedup Techniques for Programmers.,A. Clouatre
Convergent Lagrangian heuristics for nonlinear minimum cost network flows.,Caroline Olsson
Entrack: Probabilistic Spherical Regression with Entropy Regularization for Fiber Tractography.,Joachim M. Buhmann
XCP-Winf and RCP-Winf: Improving Explicit Wireless Congestion Control.,Luis Barreto
Hardware implementation of an elliptic curve processor over GF(p) with Montgomery modular multiplier.,Bart Preneel
Multi-Element Wideband Planar Antenna for Wireless Applications.,Leeladhar Malviya
Generalized Absolute Stability Using Lyapunov Functions With Relaxed Positivity Conditions.,Giorgio Valmorbida
An Experimental Analysis of Digital Video Library Servers.,Andrew Wolfe
Exploring English with Online Corpora. An Introduction. Wendy Anderson and John Corbett.,Bart Defrancq
Locally robust implementation and its limits.,Benny Moldovanu
A Class of Methods for Minimising a Sum of Squares.,Michael R. Osborne
VISOR: A fast image processing pipeline with scaling and translation invariance for test oracle automation of visual output systems.,Baris Aktemur
MANA: Microarchitecting a Temporal Instruction Prefetcher.,Ali Ansari 0001
Asymptotic behavior of ground state solutions for nonlinear Schrödinger systems.,Haidong Liu
Wavenumber Imaging of Near-Surface Defects in Rails using Green's Function Reconstruction of Ultrasonic Diffuse Fields.,Guopeng Fan
Semi-supervised support vector regression based on self-training with label uncertainty: An application to virtual metrology in semiconductor manufacturing.,Dongil Kim
Educational program for teaching seepage studies (EPTS).,Faridoun A. M. Allawi
Test generation for sequential nets of Abstract State Machines with information passing.,Angelo Gargantini
Evaluation of Linear Interpolated Handwritten Image and an Adaptive Sampling Method for Telewriting Signal.,Sakuichi Ohtsuka
Book ReviewElliott Soloway and Sitharama Iyengar. Empirical Studies of Programming.,John McGregor
Decision-theoretic rough set: A multicost strategy.,Hualong Yu
Shared networks for auditory and motor processing in professional pianists: Evidence from fMRI conjunction.,Dieter Drescher
New tools at the ,Diane O. Inglis
Informational and/or transactional websites: Strategic choices in a distribution channel.,Salma Karray
Using Foucault to analyse ethics in the practice of problem structuring methods.,José-Rodrigo Córdoba
Students' patterns of engagement and course performance in a Massive Open Online Course.,Bernard R. Robin
Efficient Super Granular SVM Feature Elimination (Super GSVM-FE) model for protein sequence motif information extraction.,Bernard Chen 0001
Foster Mohrhardt: Connecting the Traditional World of Libraries and the Emerging World of Information Science.,Melissa H. Cragin
A Hardware/Software Prototype of EEG-based BCI System for Home Device Control.,Fakhreddine Ghaffari
The distribution of stochastic shrinkage biasing parameters of the Liu type estimator.,Fikri Akdeniz
More on finding a single number to indicate overall performance of a benchmark suite.,Lizy Kurian John
Energy Harvesting for Two-Way OFDM Communications under Hostile Jamming.,Tianlong Song
Event-triggered control for switched systems with both continuous-time and discrete-time subsystems.,Rui Zhao 0013
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Eyee Hyun Nam
A general variable neighborhood search for solving the uncapacitated r-allocation p-hub median problem.,Dragan Urosevic
Accurate and fast URL phishing detector: A convolutional neural network approach.,Jakub Nowak
Fishing Vessels Behavior Identification for Combating IUU Fishing: Enable Traceability at Sea.,Buncha Chuaysi
"Improving the accuracy of flow units prediction through two committee machine models: An example from the South Pars Gas Field, Persian Gulf Basin, Iran.",Ali Kadkhodaie-Ilkhchi
Structure Tensor and Guided Filtering-Based Algorithm for Hyperspectral Anomaly Detection.,Jie Lei 0001
"OpenCyto: An Open Source Infrastructure for Scalable, Robust, Reproducible, and Automated, End-to-End Flow Cytometry Data Analysis.",Evan W. Newell
The Use of Spatially Random Base Stations in Cloud Radio Access Networks.,H. Vincent Poor
"Modes of making smart cities: Or, practices of variegated smart urbanism.",Jathan Sadowski
Scene analysis for effective visual search in rough three-dimensional-modeling scenes.,Qi Wang
Two-tier particle swarm optimization protocol for clustering and routing in wireless sensor network.,Mustapha C. E. Yagoub
Regulation Games Between Government and Competing Companies: Oil Spills and Other Disasters.,Jun Zhuang 0001
PatchView: A Python Package for Patch-clamp Data Analysis and Visualization.,Ming Hu
Dynamic sampling of text streams and its application in text analysis.,Gang Tian
Separation of Antiweb-Wheel Inequalities Over Stable Set Polytopes.,Eddie Cheng 0001
Supervised neighborhood graph construction for semi-supervised classification.,Hamid R. Rabiee
Guest Editorial for the 25th International Conference on Genome Informatics (GIW/ISCB-Asia 2014).,Chuan Yi Tang
Bernstein polynomials and learning theory.,Dietrich Braess
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Darren M. Lipnicki
Detection & recognition of veiled and unveiled human face on the basis of eyes using transfer learning.,Amna Iqbal
Classical and Bayesian inferential approaches using Lomax model under progressively type-I hybrid censoring.,Hossien Bevrani
"UML 2 Activity and Action Models, Part 5: Partitions.",Conrad Bock
Error-Optimized Sparse Representation for Single Image Rain Removal.,Bo-Hao Chen
"Dark side of online social games (OSG) using Facebook platform: effect of age, gender, and identity as moderators.",Sheshadri Chatterjee
Deep Artificial Noise: Deep Learning-Based Precoding Optimization for Artificial Noise Scheme.,Il-Min Kim
Energy-Barycenter Based Waveform Centroid Algorithm for Pulse Lidar Ranging System.,Baoling Qi
Enumeration of Branched Coverings of Nonorientable Surfaces With Cyclic Branch Points.,Alexander D. Mednykh
Completeness of Finite-Rank Differential Varieties.,William D. Simmons
Formal Feature Interpretation of Hybrid Systems.,Antonio Anastasio Bruto da Costa
Information-Seeking Support Systems [Guest Editors' Introduction].,Gary Marchionini
An IEEE Standard for Symbolic Music.,Denis L. Baggi
Quantitative impact analysis of application-level attacks on a robotic platform.,Anas AlMajali
Discrete Optimization with Fuzzy Constraints.,Bojan Zlender
CADAC: A Controlled-Precision Decimal Arithmetic Unit.,Marty S. Cohen
3DupIC: An Underwater Scan Matching Method for Three-Dimensional Sonar Registration.,Alfredo Martins
Interpreting RFID tracking data for simultaneously moving objects: An offline sampling-based approach.,Bettina Fazzinga
All-FIT: allele-frequency-based imputation of tumor purity from high-depth sequencing data.,Caitlin Guccione
An Improved robust Adaptive Fuzzy controller for MIMO Systems.,Abdelaziz Hamzaoui
Does the social platform established by MMORPGs build social and psychological capital?,Chia-Wen Chang
Distributed Kalman Filtering With Finite-Time Max-Consensus Protocol.,Peng Liu 0022
A Novel Density-based Technique for Outlier Detection of High Dimensional Data Utilizing Full Feature Space.,Dost Muhammad Khan
Experiments in Text File Compression.,Frank Rubin
New techniques for untestable fault identification in sequential circuits.,Manan Syal
Optimizing SSVEP-Based BCI System towards Practical High-Speed Spelling.,Dong Ming
A Posteriori Error Analysis for the Use of Lookup Tables in Cardiac Electrophysiology Simulations.,David J. Gavaghan
Higher Order Sparse Grid Methods for Elliptic Partial Differential Equations with Variable Coefficients.,S. Achatz
Context of Problem-Solving Systems.,Lawrence R. Symes
Establishing Point Correspondence of 3D Faces Via Sparse Facial Deformable Model.,Gang Pan 0001
Halftoning with minimum spanning trees and its application to maze-like images.,Kiichi Urahama
Learning Reliable Visual Saliency For Model Explanations.,Bo Zhang 0010
Positive and smooth Gordon-Wixom coordinates.,Chongyang Deng
Cloud-based vs. blockchain-based IoT: a comparative survey and way forward.,Jianping Li 0002
Repression of Satisfaction as the Basis of the Emergence of Old World Complex Societies.,Mohamed Chakraoui
Computational source term estimation of the Gaussian puff dispersion.,Hui Li 0027
Orthogonal double covers of complete graphs by certain spanning subgraphs.,Mahmoud Shibl Higazy
Advantages of Nonlinear-Programming-Based Methodologies for Inequality Path-Constrained Optimal Control Problems - A Numerical Study.,Lorenz T. Biegler
Inventory Integration with Rational Consumers.,Arian Aflaki
On the use of kernel structure for blind equalization.,A. Lee Swindlehurst
A robust decentralized decision-making approach for mobile supply chains under uncertainty.,Hani Shahmoradi-Moghadam
The parallelized perspective shear-warp algorithm for volume rendering.,Jürgen P. Schulze
A discrete post-processing method for structural optimization.,Erwin Johnson
Free Speech and Child Protection on the Web.,Daniel J. Weitzner
A WBAN-based Real-time Electroencephalogram Monitoring System: Design and Implementation.,Haifeng Chen
Real-Time Game Design of Pac-Man Using Fuzzy Logic.,Adnan Shaout
Chromatic Sensor to Determine Oxygen Presence for Applications in Intelligent Packaging.,Gracia López-Carballo
The simple essence of algebraic subtyping: principal type inference with subtyping made easy (functional pearl).,Lionel Parreaux
HPCMP CREATE-SH Integrated Hydrodynamic Design Environment.,Cullen Sarles
A framework for information dissemination in social networks using Hawkes processes.,Eitan Altman
A Probabilistic Framework to Detect Buildings in Aerial and Satellite Images.,Beril Sirmaçek
Type Synthesis and Kinematics Performance Analysis of a Class of 3T2R Parallel Mechanisms with Large Output Rotational Angles.,Bingshan Jiang
Wary of the worst: Maximizing award guarantees when new claimants may arrive.,Patrick Harless
Monitoring Mobile Information Processing Systems.,Igor Zacharov
Depth-aware total variation regularization for underwater image dehazing.,Xianping Fu
Farming system performance and water use efficiency in the Tunisian semi-arid region: data envelopment analysis approach.,Florence Jacquet
Scale Accuracy Evaluation of Image-Based 3D Reconstruction Strategies Using Laser Photogrammetry.,Aurelien Arnaubec
A novel discrete water wave optimization algorithm for blocking flow-shop scheduling problem with sequence-dependent setup times.,Dechang Pi
Towards a secure and lightweight network function virtualisation environment.,Antonio Lioy
Baker Domains of Period Two for the Family.,Guillermo J. F. Sienra Loera
Convexity preservation of the interpolating four-point C,Zhijie Cai
Design of millisecond IP network USB hub for remote experiment education.,Keliang Chen
Finite-Time Stabilization for a Class of Nonlinear Singular Systems.,Hecheng Wu
A regularization method for the numerical solution of periodic Stokes flow.,Anita T. Layton
Comprehensive optimization of the one-block and two-block train formation plan.,Boliang Lin
A Novel Weber Local Binary Descriptor for Fingerprint Liveness Detection.,Chengsheng Yuan
Bimodal renewal processes models of highway vehicle loads.,Daojin Lin
"Reply to ""Comments on 'New method of performance analysis for diversity reception with correlated Rayleigh-fading signals'"".",Chunhua Yang
Fast Estimation of the Blood-Brain Barrier Permeability by Pulling a Ligand through a Lipid Membrane.,Mai Suan Li
Communication Requirements in Microgrids: A Practical Survey.,Cesar A. Azurdia-Meza
Model predictive control of linear systems over networks with data quantizations and packet losses.,Baocang Ding
Editorial.,Stanley L. Freeny
Minimum-Variance Recursive Filtering for Two-Dimensional Systems With Degraded Measurements: Boundedness and Monotonicity.,Fan Wang 0006
Topological Superconducting Transition Characterized by a Modified Real-Space-Pfaffian Method and Mobility Edges in a One-Dimensional Quasiperiodic Lattice.,Shujie Cheng
The number of crossings in multigraphs with no empty lens.,Géza Tóth 0001
Time-division-multiplexed arbitration in silicon nanophotonic networks-on-chip for high-performance chip multiprocessors.,Eric Robinson
Time- and Frequency-Domain Fault Detection in a VSC-Interfaced Experimental DC Test System.,Abhisek Ukil
Hierarchical Routing Protocols for Wireless Sensor Networks: Functional and Performance Analysis.,Muazzam Ali Khan Khattak
A comprehensive study of online event tracking algorithms in social networks.,Mahsa Seifikar
An Evaluation of CPU Efficiency Under Dynamic Quantum Allocation.,Richard E. Nance
Performance Evaluation of Individuals in Workgroups with Shared Outcomes Using DEA.,Hanhui Hu
Multi-class imbalanced big data classification on Spark.,Bartosz Krawczyk
SINR Prediction in Presence of Correlated Shadowing in Cellular Networks.,Ahmad Mahbubul Alam
Fast Motion Estimation Algorithm Based on Complex Wavelet Transform.,Djamel Saigaa
Improving Recommendation for Effective Personalization in Context-Aware Data Using Novel Neural Network.,R. Sujatha
Temporal tracking on videos with direction detection.,Shajeena Johnson
QoS-based Task Group Deployment on Grid by Learning the Performance Data.,Eswaran Chikkannan
Improved stability conditions of time-varying delay systems based on new Lyapunov functionals.,Ju H. Park 0001
Semisupervised Stacked Autoencoder With Cotraining for Hyperspectral Image Classification.,Peijun Du
Individual Verifiability and Revoting in the Estonian Internet Voting System.,Olivier Pereira
Multi-Agent Architecture for Intelligent Tutoring Systems.,Ana Lilia Laureano-Cruces
Towards passive cooling solutions for mobile access network.,David Nörtershäuser
Stochastic Modeling of the Static and Dynamic Multichannel Access Methods Enabling 40/80/160 MHz Channel Bonding in the VHT WLANs.,Adlen Ksentini
Formalization of Bachmair and Ganzinger's Ordered Resolution Prover.,Anders Schlichtkrull
Time-Varying Autoregressive Model-Based Multiple Modes Particle Filtering Algorithm for Respiratory Rate Extraction From Pulse Oximeter.,Jinseok Lee
Exact Face-isoperimetric Inequalities.,Béla Bollobás
Thermal Model Identification of Computing Nodes in High-Performance Computing Systems.,Andrea Bartolini
Bivariate Pseudo-Gompertz distribution and concomitants of its order statistics.,Serap Yörübulut
A New Localization System for Indoor Service Robots in Low Luminance and Slippery Indoor Environment Using Afocal Optical Flow Sensor Based Sensor Fusion.,Dong-Hoon Yi
An efficient aggregation scheme resisting on malicious data mining attacks for smart grid.,Hua Shen
Social Software.,Hajo Hippner
Validación de un Sistema de Diálogo Mediante el uso de diferentes umbrales de poda en el proceso de reconocimiento automático de voz.,Antonio J. Rubio-Ayuso
Application of neural network to humanoid robots--development of co-associative memory model.,Atsuo Takanishi
Robust job-shop scheduling under deterministic and stochastic unavailability constraints due to preventive and corrective maintenance.,Abolfazl Gharaei
Algorithms for the maximum k-club problem in graphs.,Sergiy Butenko
Fractional-order model of the disease Psoriasis: A control based mathematical approach.,Abhirup Datta
Editorial.,Sergey Foss
"A framework for conceptualizing, representing, and analyzing distributed interaction.",Daniel D. Suthers
An expert system for optimising thyroid disease diagnosis.,Jaganathan Palanichamy
Detection of Apple Defects Based on the FCM-NPGA and a Multivariate Image Analysis.,Guoxiong Zhou
Verteiltparametrische Modellierung und Regelung eines thermischen Festbettspeichers.,Dirk Abel
"One for All, All for One: The Peculiar Dynamics of TNF-Receptor-Associated Factor (TRAF2) Subunits.",Almerinda Di Venere
Bounding the Running Time of Algorithms for Scheduling and Packing Problems.,Felix Land
Quantum Isostere Database: A Web-Based Tool Using Quantum Chemical Topology To Predict Bioisosteric Replacements for Drug Design.,Iain M. McLay
Second-Order Necessary Optimality Conditions for a Class of Optimal Control Problems Governed by Partial Differential Equations with Pure State Constraints.,Arnd Rösch
Graph clustering-based discretization of splitting and merging methods (GraphS and GraphM).,Kittakorn Sriwanna
Design of PID controllers using Filippov's method for stable operation of DC-DC converters.,Brendan Hayes
Scaling Algorithms for the Shortest Paths Problem.,Andrew V. Goldberg
A prototype vision system for analyzing CT imagery of hardwood logs.,Daniel L. Schmoldt
Combining ontology and reinforcement learning for zero-shot classification.,Bin Liu 0026
Ternary 2N-point Lagrange subdivision schemes.,Kashif Rehan
Joint resource allocation for emotional 5G IoT systems using deep reinforcement learning.,Dongdai Zhou
Synchronization Induced by Intermittent versus Partial Drives in Chaotic Systems.,Mario G. Cosenza
Neural Network Modelling with Input Uncertainty: Theory and Application.,Dan Cornford
Unsteady oblique stagnation-point flow and heat transfer of fractional Maxwell fluid with convective derivative under modified pressure field.,Xin Wang
A framework for enterprise engineering.,Jan A. P. Hoogervorst
Approximate confidence intervals for a linear combination of binomial proportions: A new variant.,Adelaide Freitas
Usable and Useful Help in Literature Database Search? A Pedagogical Implementation and the Evaluation of an Interactive Screencast for Iraqi University Students.,Florian Steger
Artificial Intelligence Techniques and Methodology.,Derek H. Sleeman
On the Feature Selection Criterion Based on an Approximation of Multidimensional Mutual Information.,Kiran S. Balagani
"Holism, Conceptual-Role Semantics, and Syntactic Semantics.",William J. Rapaport
Path Planning of UAVs Based on Collision Probability and Kalman Filter.,Jiaming Zuo
Collaborative optimization of robotic disassembly sequence planning and robotic disassembly line balancing problem using improved discrete Bees algorithm in remanufacturing,Chunqian Ji
Integrated Crash Avoidance and Mitigation Algorithm for Autonomous Vehicles.,Amir Khajepour
Entropy Measures as Geometrical Tools in the Study of Cosmology.,Asher Yahalom
The fuzzy cube and causal efficacy: representation of concomitant mechanisms in stroke.,Cathy M. Helgason
The privacy of the TLS 1.3 protocol.,Adina Nedelcu
Random Graphs And The Strong Convergence Of Bootstrap Means.,Sándor Csörgo
A simple device and a project for the nonlinear control systems laboratory.,José Maria Girón-Sierra
Adoption of Configuration Management in the Industry: Strategies and Lessons Learned.,Chessman K. F. Corrêa
Flight Strategies of Migrating Northern Bald Ibises - Analysis of GPS Data During Human-led Migration Flights.,Armin Heller
Wind Speed Forecasting System Based on the Variational Mode Decomposition Strategy and Immune Selection Multi-Objective Dragonfly Optimization Algorithm.,He Bo
Efficient Distributed Event-Driven Simulations of Multiple-Loop Networks.,Boris D. Lubachevsky
"Data, ideology, and the developing critical program of social informatics.",Michael Marcinkowski
Multidimensional Size Functions for Shape Comparison.,Andrea Cerri
Cuckoo filter-based many-field packet classification using X-tree.,Aladdin A. Abdulhassan
Computer Definitions [Guest Editorial].,Nathaniel Rochester
On the semantics of EPCs: Resolving the vicious circle.,Ekkart Kindler
Approximate solution of the electrostatic nanocantilever model via optimal perturbation iteration method.,Sinan Deniz
Output consensus for heterogeneous multi-agent systems with disturbances.,Fei Yan 0006
Fast Optical Flow Estimation Without Parallel Architectures.,En Zhu
The Logarithm Function with a Fuzzy Time Series.,Ming-Tao Chou
Does Pooling Purchases Lead to Higher Profits?,Bin Hu
"Which emphasis technique to use? Perception of emphasis techniques with varying distractors, backgrounds, and visualization types.",Andy Cockburn
A high order flux reconstruction interface capturing method with a phase field preconditioning procedure.,Changhong Hu
A counterexample to the Bollobás-Riordan conjectures on sparse graph limits.,Ashwin Sah
Circuit QED: generation of two-transmon-qutrit entangled states via resonant interaction.,Chui-Ping Yang
An efficient four-step multiderivative method for the numerical solution of second-order IVPs with oscillating solutions.,Ali Shokri 0002
On the use of iterative methods in cubic regularization for unconstrained optimization.,Benedetta Morini
An automatic method for extracting citations from Google Books.,Kayvan Kousha
Personalised QoS-based web service recommendation with service neighbourhood-enhanced matrix factorisation.,Jianwei Yin
A comparative study between dynamic and soft computing models for sediment forecasting.,Chandrashekhar Meshram
Metric based symbol predistortion for peak power reduction of space frequency coded OFDM systems.,Ali Jafarnia Jahromi
Real-world reinforcement learning for autonomous humanoid robot docking.,Cornelius Weber
A broad view of queueing theory through one issue.,Ward Whitt
A composite sliding mode autopilot design.,Jingju Zhu
Recent Advances in Randomness Extraction.,Eshan Chattopadhyay
Diverse community: Demand differentiation in P2P live streaming.,Byrav Ramamurthy
Analysis of nonidealities of N-path circuits using impulse response.,Abdolreza Nabavi
Analytic Function Approximation by Path-Norm-Regularized Deep Neural Networks.,Aleksandr Beknazaryan
"Review of ""Stochastische Grundlagen des Kalman-Bucy-Filters"" (Stochastic Fundamentals of the Kalman-Bucy Filter) by Karl Brammer and Gerhard Siffling.",George M. Siouris
An adaptive clustering method detecting the surface defects on linear guide rails.,Kui Zhang
"Ethics, Engineers and Drama.",John Monk
Assessing cloud computing value in firms through socio-technical determinants.,June Wei
An enterprise modelling method based on an extension mechanism.,G. Wang
8 semifield planes of order 8,Haoru Huang
